version,classpath,LOC,LOC_TOUCHED,REVS,FIXES,AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE,WEIGHTED_AGE,COMMENT_LINES,NESTING_DEPTH,DECISION_POINTS,nsmells,DISTINCT_SMELL_TYPES,BUGGY
"1.2.0","src/java/org/apache/avro/ipc/Server.java",5,13,1,0,1,8,8,8.000000,3,3,3.000000,326,110,54.333333,396,371.633663,20,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/ipc/ResponderServlet.java",30,120,2,0,1,88,76,44.000000,96,76,48.000000,10,5,5.000000,222,218.700000,18,1,1,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/ipc/Responder.java",146,33,2,0,1,10,8,5.000000,13,13,6.500000,426,110,32.769231,396,361.592346,33,2,15,"7",1,"NO"
"1.2.0","src/java/org/apache/avro/ipc/Requestor.java",167,21,2,0,1,10,8,5.000000,1,1,0.500000,437,110,36.416667,396,359.753927,35,2,16,"7",2,"YES"
"1.2.0","src/java/org/apache/avro/ipc/RPCPlugin.java",10,8,1,0,1,4,4,4.000000,0,0,0.000000,28,15,14.000000,283,277.731707,55,0,0,"7",1,"NO"
"1.2.0","src/java/org/apache/avro/ipc/RPCContext.java",64,36,1,0,1,18,18,18.000000,0,0,0.000000,28,15,14.000000,283,272.491892,67,1,4,"2",1,"NO"
"1.2.0","src/java/org/apache/avro/ipc/HttpTransceiver.java",83,122,3,0,1,120,116,40.000000,118,116,39.333333,14,5,4.666667,222,221.704918,22,3,6,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/ipc/HttpServer.java",30,111,2,0,1,85,76,42.500000,93,76,46.500000,10,5,5.000000,222,219.162162,20,1,2,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/ipc/DatagramTransceiver.java",54,84,1,0,1,84,84,84.000000,84,84,84.000000,15,15,15.000000,229,229.000000,21,2,3,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/ipc/DatagramServer.java",45,68,1,0,1,18,18,18.000000,32,32,32.000000,351,110,50.142857,396,365.196687,18,2,3,"0",0,"NO"
